wtc_code,window_center_s,rms_mean,spectral_centroid_hz_mean,spectral_bandwidth_hz_mean,spectral_rolloff_hz_mean,zero_crossing_rate_mean,onset_strength_mean,n_note_onsets,istc_mean_max_unique_per_sec
wtc1p15,29.5,0.029678675856035442,1020.8235578986449,1937.386136993056,1402.0625,0.026078349656178373,0.0011459479375882445,12.75,7.25
wtc1p15,29.75,0.030200150812248208,1005.9917000257456,1929.1429532051113,1386.5625,0.02592988122525526,0.0013259575605887317,12.75,7.0
wtc1p15,30.0,0.03006802995400138,1002.7467931349146,1917.27517782582,1378.3125,0.02657975619920817,0.0012920912240776926,13.5,7.25
wtc1p15,30.25,0.028514636016212125,998.6292237662458,1938.8953862910205,1377.875,0.02652766201291936,0.0009771478096277804,14.75,7.25
wtc1p15,30.5,0.028383469191924124,1015.0292867830283,1961.1480281960353,1410.0625,0.02675166701396124,0.000988857786787478,14.5,8.25
wtc1p15,30.75,0.02750939130778973,1051.7759915020981,2071.916634837256,1430.6875,0.026663106897270264,0.0009158628999812242,15.0,8.25
wtc1p15,31.0,0.02748812288078932,1065.509901958379,2158.020742585355,1420.9375,0.026463846634715568,0.0009921220115613407,13.75,7.75
wtc1p15,31.25,0.03013346612735577,1077.182839407222,2207.97182063972,1433.25,0.025701969160241714,0.001265998633585528,13.25,8.5
wtc1p15,31.5,0.030794919116668158,1045.332724373709,2177.970796471968,1389.9375,0.024421754532194206,0.0011982489656096615,12.5,6.75
wtc1p15,31.75,0.03277655934433879,1000.095930182895,2073.1249347407966,1387.0,0.02288888310064597,0.001390087064529923,11.75,7.5
wtc1p15,32.0,0.03459693613066153,970.7724986451216,1971.1164558146756,1402.3125,0.022097051469056054,0.0016658872873882118,12.0,8.0
wtc1p15,32.25,0.038057191966053484,944.0621872203787,1829.139313714117,1410.625,0.02228589289435299,0.0018403354332181244,14.25,7.5
wtc1p15,32.5,0.040352404823399524,955.534562349252,1763.2187713009118,1470.9375,0.023133725776203377,0.0020469594797209766,16.0,7.5
wtc1p15,32.75,0.042984223534688795,961.4908002134864,1695.3506193519984,1500.0,0.02439440508439258,0.002158310600761915,18.25,7.0
wtc1p15,33.0,0.04477047614629653,970.412316073412,1631.9733529256523,1528.6875,0.025838716399249843,0.0020490860782813904,20.25,7.0
wtc1p15,33.25,0.0441801879628851,968.2158103320571,1612.687713272995,1516.0625,0.02633621587830798,0.0019697154633338205,19.5,7.0
wtc1p15,33.5,0.045227847887208385,961.5775275532237,1586.5367965857702,1498.1875,0.02704599916649302,0.0018977045607318297,19.75,7.25
wtc1p15,33.75,0.043526548760285846,966.130063738162,1611.307206254609,1466.6875,0.02734814544696812,0.0014312522402117416,17.75,7.5
wtc1p15,34.0,0.04025065240984652,978.838572247605,1681.613548822137,1477.9375,0.026130443842467183,0.0013756996176742821,15.25,7.25
wtc1p15,34.25,0.03660263556571171,987.694283675122,1753.2840827938053,1481.75,0.02551703479891644,0.0011286316744360723,13.0,7.5
wtc1p15,34.5,0.03513581724679147,992.9881368421621,1783.0949990830131,1490.0625,0.02540372994373828,0.001413096788608876,12.25,7.5
wtc1p15,34.75,0.035431230388871374,997.5474835111165,1773.8851948480394,1503.625,0.0253086580537612,0.001818218947157182,13.75,7.25
wtc1p15,35.0,0.039184352490643254,989.1299632361142,1709.916873761213,1493.5,0.025722806834757243,0.0016535431176566695,15.5,7.5
wtc1p15,35.25,0.04291955981729606,1005.4562598156713,1660.8528229258957,1518.125,0.026866274223796623,0.001890881120472374,17.75,6.5
wtc1p15,35.5,0.04582844014069083,1021.964700374248,1621.5580951606264,1541.1875,0.027355959574911437,0.001606021743996594,17.75,6.0
wtc1p15,35.75,0.047226066869466746,1028.5052544879873,1591.3079922505913,1562.875,0.028475984580120857,0.0015282369073137334,18.0,6.25
wtc1p15,36.0,0.048568204649727054,1036.2992978400434,1573.9645643772337,1571.5,0.0296871744113357,0.0016046254852699364,17.5,6.25
wtc1p15,36.25,0.04742988213176279,1020.9769267880154,1561.7579811079015,1562.6875,0.029745780370910604,0.0015145910535320868,16.25,6.5
wtc1p15,36.5,0.045347168217514076,1014.4940363905629,1577.883137402286,1564.8125,0.029176651385705354,0.0013737924391869823,15.25,6.5
wtc1p15,36.75,0.04453835816758869,1043.6214484004295,1617.1682880896265,1632.5625,0.029435819962492185,0.0013549520223333324,13.75,5.75
wtc1p15,37.0,0.046406733944469584,1056.792441948781,1636.7127982129798,1670.5625,0.02826370077099396,0.0016328257495975777,13.5,6.0
wtc1p15,37.25,0.049080245508591885,1068.668273508142,1626.1351149306754,1695.0625,0.028328818503854967,0.001850250399258541,14.0,5.5
wtc1p15,37.5,0.05366348452908278,1052.4758667017456,1576.3271554695884,1678.625,0.028039695769952074,0.0019048412037832299,16.25,5.5
wtc1p15,37.75,0.05631559174777618,1036.2535604776153,1542.1554299619586,1634.5625,0.02741065847051469,0.001950303033474625,15.75,5.75
wtc1p15,38.0,0.054732349306961185,1037.5749835579456,1523.1516055690943,1638.0625,0.028822410918941443,0.0018088525641992718,16.25,5.5
wtc1p15,38.25,0.05443999716635717,1071.8797642013897,1536.3098710614354,1688.0625,0.030644405084392583,0.001980256462210909,15.0,6.25
